original_filename,page,col1,col2,col3,col4,col5,col6
northeast_ns_correctional_facility_missing_pages.pdf,0,"Confinements :
Person CT ID",Confinement Reason,Entry,Exit,Duration,"Ethnic
Origin"
northeast_ns_correctional_facility_missing_pages.pdf,0,20 ( 1 ),Covid - 19,02 - JAN - 21,04 - JAN - 21,IN 2,CAU
northeast_ns_correctional_facility_missing_pages.pdf,0,,Covid - 19,03 - JAN - 21,05 - JAN - 21,2,CAU
northeast_ns_correctional_facility_missing_pages.pdf,0,,Covid - 19,03 - JAN - 21,05 - JAN - 21,2,CAU
northeast_ns_correctional_facility_missing_pages.pdf,0,,Covid - 19,04 - JAN - 21,04 - JAN - 21,0,CAU
northeast_ns_correctional_facility_missing_pages.pdf,0,,Covid - 19,05 - JAN - 21,06 - JAN - 21,1,CAU
northeast_ns_correctional_facility_missing_pages.pdf,0,,Covid - 19,07 - JAN - 21,11 - JAN - 21,4,CAU
northeast_ns_correctional_facility_missing_pages.pdf,0,,Covid - 19,07 - JAN - 21,08 - JAN - 21,1,CAU
northeast_ns_correctional_facility_missing_pages.pdf,0,,Covid - 19,08 - JAN - 21,10 - JAN - 21,2,CAU
northeast_ns_correctional_facility_missing_pages.pdf,0,,Covid - 19,09 - JAN - 21,11 - JAN - 21,2,CAU
northeast_ns_correctional_facility_missing_pages.pdf,0,,Covid - 19,09 - JAN - 21,10 - JAN - 21,1,CAU
northeast_ns_correctional_facility_missing_pages.pdf,0,,Covid - 19,10 - JAN - 21,14 - JAN - 21,4,CAU
northeast_ns_correctional_facility_missing_pages.pdf,0,,Covid - 19,12 - JAN - 21,13 - JAN - 21,1,UNK
northeast_ns_correctional_facility_missing_pages.pdf,0,,Covid - 19,13 - JAN - 21,19 - JAN - 21,6,BLA
northeast_ns_correctional_facility_missing_pages.pdf,0,,Covid - 19,14 - JAN - 21,29 - JAN - 21,15,IND
northeast_ns_correctional_facility_missing_pages.pdf,0,,Covid - 19,15 - JAN - 21,15 - JAN - 21,0,CAU
northeast_ns_correctional_facility_missing_pages.pdf,0,,Covid - 19,15 - JAN - 21,15 - JAN - 21,0,CAU
northeast_ns_correctional_facility_missing_pages.pdf,1,"Confinements :
Person CT ID",Confinement Reason,Entry,Exit,Duration,"Ethnic
Origin"
northeast_ns_correctional_facility_missing_pages.pdf,1,20 ( 1 ),Covid - 19,05 - MAY - 21,09 - MAY - 21,4,CAU
northeast_ns_correctional_facility_missing_pages.pdf,1,,Covid - 19,05 - MAY - 21,06 - MAY - 21,1,IND
northeast_ns_correctional_facility_missing_pages.pdf,1,,Covid - 19,05 - MAY - 21,06 - MAY - 21,1,UNK
northeast_ns_correctional_facility_missing_pages.pdf,1,,Covid - 19,06 - MAY - 21,10 - MAY - 21,4,BLA
northeast_ns_correctional_facility_missing_pages.pdf,1,,Covid - 19,06 - MAY - 21,08 - MAY - 21,2,CAU
northeast_ns_correctional_facility_missing_pages.pdf,1,,Covid - 19,07 - MAY - 21,10 - MAY - 21,3,UNK
northeast_ns_correctional_facility_missing_pages.pdf,1,,Covid - 19,11 - MAY - 21,11 - MAY - 21,0,CAU
northeast_ns_correctional_facility_missing_pages.pdf,1,,Covid - 19,14 - MAY - 21,17 - MAY - 21,3,CAU
northeast_ns_correctional_facility_missing_pages.pdf,1,,Covid - 19,15 - MAY - 21,17 - MAY - 21,2,CAU
northeast_ns_correctional_facility_missing_pages.pdf,1,,Covid - 19,18 - MAY - 21,18 - MAY - 21,0,CAU
northeast_ns_correctional_facility_missing_pages.pdf,1,,Covid - 19,19 - MAY - 21,20 - MAY - 21,1,CAU
northeast_ns_correctional_facility_missing_pages.pdf,1,,Covid - 19,20 - MAY - 21,21 - MAY - 21,1,CAU
northeast_ns_correctional_facility_missing_pages.pdf,1,,Covid - 19,24 - MAY - 21,25 - MAY - 21,1,CAU
northeast_ns_correctional_facility_missing_pages.pdf,1,,Covid - 19,29 - MAY - 21,03 - JUN - 21,5,UNK
northeast_ns_correctional_facility_missing_pages.pdf,1,,Covid - 19,30 - MAY - 21,01 - JUN - 21,2,CAU
northeast_ns_correctional_facility_missing_pages.pdf,1,,Covid - 19,30 - MAY - 21,01 - JUN - 21,2,CAU
northeast_ns_correctional_facility_missing_pages.pdf,2,"Confinements :
Person CT ID",Confinement Reason,Entry,Exit,Duration,"Ethnic
Origin"
northeast_ns_correctional_facility_missing_pages.pdf,2,20 ( 1 ),Covid - 19,17 - MAY - 22,24 - MAY - 22,7,CAU
northeast_ns_correctional_facility_missing_pages.pdf,2,,Covid - 19,17 - MAY - 22,18 - MAY - 22,1,IND
northeast_ns_correctional_facility_missing_pages.pdf,2,,Covid - 19,18 - MAY - 22,20 - MAY - 22,2,CAU
northeast_ns_correctional_facility_missing_pages.pdf,2,,Covid - 19,18 - MAY - 22,19 - MAY - 22,1,ANS
northeast_ns_correctional_facility_missing_pages.pdf,2,,Covid - 19,18 - MAY - 22,19 - MAY - 22,1,CAU
northeast_ns_correctional_facility_missing_pages.pdf,2,,Covid - 19,19 - MAY - 22,27 - MAY - 22,8,CAU
northeast_ns_correctional_facility_missing_pages.pdf,2,,Covid - 19,20 - MAY - 22,25 - MAY - 22,5,CAU
northeast_ns_correctional_facility_missing_pages.pdf,2,,Covid - 19,21 - MAY - 22,25 - MAY - 22,4,CAU
northeast_ns_correctional_facility_missing_pages.pdf,2,,Covid - 19,21 - MAY - 22,28 - MAY - 22,7,CAU
northeast_ns_correctional_facility_missing_pages.pdf,2,,Covid - 19,21 - MAY - 22,24 - MAY - 22,3,CAU
northeast_ns_correctional_facility_missing_pages.pdf,2,,Covid - 19,21 - MAY - 22,24 - MAY - 22,3,CAU
